id;nom_voie;id_fantoir;numero;rep;code_insee;code_post;alias;nom_ld;nom_afnor;libelle_acheminement;x;y;lon;lat;nom_commune
ADRNIVX_0000000265767242;allée des acacias;0020;35;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906044;6917510.5;5.83417001842203;49.3238920649908;Mont-Bonvillers
ADRNIVX_0000000265767223;allée des acacias;0020;16;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905979.9;6917585.7;5.83332616875743;49.3245882846345;Mont-Bonvillers
ADRNIVX_0000000265767214;allée des acacias;0020;8;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906030;6917608.9;5.83402616904545;49.3247805394923;Mont-Bonvillers
ADRNIVX_0000000265767233;allée des acacias;0020;26;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905965.2;6917526;5.83309468756609;49.3240567204909;Mont-Bonvillers
ADRNIVX_0000000265767256;allée des acacias;0020;49;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905985.7;6917666.9;5.833445943609;49.3253158594938;Mont-Bonvillers
ADRNIVX_0000000265767264;allée des acacias;0020;5187;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906054.6;6917592.3;5.83435606871932;49.3246234810991;Mont-Bonvillers
ADRNIVX_0000000265767226;allée des acacias;0020;19;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905993;6917552.9;5.83349002619341;49.3242894071354;Mont-Bonvillers
ADRNIVX_0000000265767259;allée des acacias;0020;5182;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906046.6;6917580.6;5.83424034615753;49.3245209570057;Mont-Bonvillers
ADRNIVX_0000000265767228;allée des acacias;0020;21;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905958;6917555;5.83301004062559;49.3243195585193;Mont-Bonvillers
ADRNIVX_0000000265767224;allée des acacias;0020;17;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905981.1;6917568.6;5.83333422458928;49.3244342828811;Mont-Bonvillers
ADRNIVX_0000000265767232;allée des acacias;0020;25;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905998.5;6917487.2;5.83353319954025;49.3236974289657;Mont-Bonvillers
ADRNIVX_0000000265767254;allée des acacias;0020;47;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905957.5;6917655.2;5.83305259821795;49.3252198483308;Mont-Bonvillers
ADRNIVX_0000000265767227;allée des acacias;0020;20;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905943.2;6917588.5;5.832823161551;49.3246252717993;Mont-Bonvillers
ADRNIVX_0000000265767250;allée des acacias;0020;43;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905961.4;6917663.2;5.83311014532249;49.3252904572946;Mont-Bonvillers
ADRNIVX_0000000265767263;allée des acacias;0020;5186;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906052.9;6917589.8;5.83433147085041;49.3246015712189;Mont-Bonvillers
ADRNIVX_0000000265767207;allée des acacias;0020;1;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906094.4;6917651.4;5.83493223587252;49.3251415542543;Mont-Bonvillers
ADRNIVX_0000000265767248;allée des acacias;0020;41;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905950.7;6917650.9;5.83295701974174;49.3251834126708;Mont-Bonvillers
ADRNIVX_0000000265767235;allée des acacias;0020;28;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905978.3;6917497;5.83326041933748;49.3237919797843;Mont-Bonvillers
ADRNIVX_0000000265767230;allée des acacias;0020;23;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905994.8;6917507.7;5.8334924635258;49.3238827804052;Mont-Bonvillers
ADRNIVX_0000000265767209;allée des acacias;0020;3;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906091.7;6917631.7;5.83488540333768;49.3249654542432;Mont-Bonvillers
ADRNIVX_0000000265767217;allée des acacias;0020;10;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906021.5;6917620.7;5.83391517131848;49.3248892842867;Mont-Bonvillers
ADRNIVX_0000000265767262;allée des acacias;0020;5185;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906051.3;6917587.4;5.83430829670921;49.3245805274058;Mont-Bonvillers
ADRNIVX_0000000265767257;allée des acacias;0020;5180;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906044.6;6917573.6;5.83420940453678;49.3244587189457;Mont-Bonvillers
ADRNIVX_0000000265767208;allée des acacias;0020;2;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906105.2;6917676;5.83509281194654;49.3253590587729;Mont-Bonvillers
ADRNIVX_0000000265767237;allée des acacias;0020;30;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905990.5;6917471.9;5.83341570458255;49.3235625640003;Mont-Bonvillers
ADRNIVX_0000000265767243;allée des acacias;0020;36;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906027.3;6917414.7;5.83389323190263;49.3230368489358;Mont-Bonvillers
ADRNIVX_0000000265767218;allée des acacias;0020;11;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906079.2;6917561.2;5.8346788093137;49.3243361636972;Mont-Bonvillers
ADRNIVX_0000000265767241;allée des acacias;0020;34;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906017;6917412.4;5.83375054277446;49.3230195093738;Mont-Bonvillers
ADRNIVX_0000000265766738;rue baron d'huart;0040;12;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905605.5;6917923;5.82834668934678;49.3277389860645;Mont-Bonvillers
ADRNIVX_0000000265766496;rue baron d'huart;0040;5;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905848.4;6918036.5;5.83174117169579;49.32868035176;Mont-Bonvillers
ADRNIVX_0000000265766735;rue baron d'huart;0040;6;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905660.2;6917942;5.82910786921031;49.3278920580879;Mont-Bonvillers
ADRNIVX_0000000265766756;rue baron d'huart;0040;5047;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905574.7;6917921.8;5.82792277022352;49.3277381201684;Mont-Bonvillers
ADRNIVX_0000000265766492;rue baron d'huart;0040;2;BIS;54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905872;6918044.5;5.8320694907712;49.3287446114363;Mont-Bonvillers
ADRNIVX_0000000265766752;rue baron d'huart;0040;25;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905586;6917923.7;5.82807901787476;49.3277515513251;Mont-Bonvillers
ADRNIVX_0000000265766740;rue baron d'huart;0040;14;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905593;6917918.9;5.82817286488634;49.3277061782382;Mont-Bonvillers
ADRNIVX_0000000265766497;rue baron d'huart;0040;7;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905840;6918029.9;5.8316224621854;49.3286237692848;Mont-Bonvillers
ADRNIVX_0000000265766760;rue baron d'huart;0040;5138;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905571.7;6917903.4;5.82787247610427;49.3275737927859;Mont-Bonvillers
ADRNIVX_0000000265766744;rue baron d'huart;0040;16;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905530.3;6917897.2;5.82730040622097;49.3275314197169;Mont-Bonvillers
ADRNIVX_0000000265766733;rue baron d'huart;0040;3;B;54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905885.7;6918065.9;5.83226834739296;49.3289324376063;Mont-Bonvillers
ADRNIVX_0000000265766493;rue baron d'huart;0040;3;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905869.2;6918051.4;5.8320344085977;49.3288074986325;Mont-Bonvillers
ADRNIVX_0000002006012770;rue baron d'huart;0040;27;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905673.4;6917955.8;5.82929609508179;49.3280117772028;Mont-Bonvillers
ADRNIVX_0000000265766747;rue baron d'huart;0040;16;BIS;54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905694.3;6917963.5;5.82958714888477;49.3280742181211;Mont-Bonvillers
ADRNIVX_0000000265766736;rue baron d'huart;0040;8;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905640;6917935;5.82882678294592;49.3278356789437;Mont-Bonvillers
ADRNIVX_0000000265766495;rue baron d'huart;0040;4;BIS;54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905827.2;6918012.5;5.83143795149044;49.3284715851205;Mont-Bonvillers
ADRNIVX_0000000265766757;rue baron d'huart;0040;5124;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905576.8;6917889.6;5.82793577665911;49.3274481815651;Mont-Bonvillers
ADRNIVX_0000000265766499;rue baron d'huart;0040;11;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905751.4;6917980.4;5.83038028921327;49.3282076442162;Mont-Bonvillers
ADRNIVX_0000000265766761;rue baron d'huart;0040;9121;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905575;6917921.9;5.82792694279466;49.3277389219411;Mont-Bonvillers
ADRNIVX_0000000265766746;rue baron d'huart;0040;16;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905530.3;6917897.2;5.82730040622097;49.3275314197169;Mont-Bonvillers
ADRNIVX_0000000265766755;rue baron d'huart;0040;5046;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905574.7;6917921.8;5.82792277022352;49.3277381201684;Mont-Bonvillers
ADRNIVX_0000000265766498;rue baron d'huart;0040;9;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905783.3;6917991.5;5.83082421148003;49.328297081704;Mont-Bonvillers
ADRNIVX_0000000265766749;rue baron d'huart;0040;19;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905632.7;6917938.9;5.82872836960816;49.3278730641416;Mont-Bonvillers
ADRNIVX_0000000265766739;rue baron d'huart;0040;13;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905719;6917969.2;5.82992944695011;49.3281174678037;Mont-Bonvillers
ADRNIVX_0000000265766741;rue baron d'huart;0040;14;BIS;54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905586.9;6917863.2;5.82806159337534;49.327207771142;Mont-Bonvillers
ADRNIVX_0000000265766734;rue baron d'huart;0040;4;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905675.3;6917947;5.82931787391558;49.3279321122896;Mont-Bonvillers
ADRNIVX_0000000265766750;rue baron d'huart;0040;21;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905618.9;6917935;5.82853677518612;49.3278424720429;Mont-Bonvillers
ADRNIVX_0000000265766751;rue baron d'huart;0040;23;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905603.3;6917929.7;5.82831975147893;49.3277998824403;Mont-Bonvillers
ADRNIVX_0000000265766753;rue baron d'huart;0040;5043;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905574.7;6917921.8;5.82792277022352;49.3277381201684;Mont-Bonvillers
ADRNIVX_0000000265766743;rue baron d'huart;0040;16;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905530.3;6917897.2;5.82730040622097;49.3275314197169;Mont-Bonvillers
ADRNIVX_0000000265766490;rue baron d'huart;0040;1;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905877;6918055.7;5.83214373782391;49.3288436125432;Mont-Bonvillers
ADRNIVX_0000000265766742;rue baron d'huart;0040;15;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905686.9;6917958.2;5.82948282815325;49.3280289897493;Mont-Bonvillers
ADRNIVX_0000000265766732;rue baron d'huart;0040;2;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905699.3;6917955.2;5.8296517815553;49.3279980464393;Mont-Bonvillers
ADRNIVX_0000000265766758;rue baron d'huart;0040;5126;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905570.6;6917906.5;5.82785888383311;49.3276019950991;Mont-Bonvillers
ADRNIVX_0000000265766748;rue baron d'huart;0040;17;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905662.2;6917949.9;5.82913925013151;49.3279623822045;Mont-Bonvillers
ADRNIVX_0000000340276303;rue baron d'huart;0040;18;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905673.4;6917955.8;5.82929609508179;49.3280117772028;Mont-Bonvillers
ADRNIVX_0000000265766754;rue baron d'huart;0040;5044;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905574.7;6917921.8;5.82792277022352;49.3277381201684;Mont-Bonvillers
ADRNIVX_0000000265766491;rue baron d'huart;0040;1;BIS;54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905905.2;6918076;5.83254135119558;49.3290168825211;Mont-Bonvillers
