uid_adresse;cle_interop;commune_insee;commune_nom;commune_deleguee_insee;commune_deleguee_nom;voie_nom;lieudit_complement_nom;numero;suffixe;position;x;y;long;lat;cad_parcelles;source;date_der_maj;certification_commune
;54084_b114_00015;54084;Mont-Bonvillers;;;Bonvillers Village;;15;;segment;906629.31;6917512.39;5.842215;49.32372;;inconnue;;0
;54084_b114_00016;54084;Mont-Bonvillers;;;Bonvillers Village;;16;;segment;906636.83;6917507.65;5.842316;49.323675;;inconnue;;0
;54084_b114_00017;54084;Mont-Bonvillers;;;Bonvillers Village;;17;;segment;906599.41;6917451.43;5.841774;49.323182;;inconnue;;0
;54084_b114_00018;54084;Mont-Bonvillers;;;Bonvillers Village;;18;;segment;906595.63;6917461.53;5.841727;49.323274;;inconnue;;0
;54084_b114_00019;54084;Mont-Bonvillers;;;Bonvillers Village;;19;;segment;906589.66;6917453.53;5.841641;49.323204;;inconnue;;0
;54084_b114_00020;54084;Mont-Bonvillers;;;Bonvillers Village;;20;;segment;906556.29;6917418.37;5.841165;49.322899;;inconnue;;0
;54084_b114_00021;54084;Mont-Bonvillers;;;Bonvillers Village;;21;;segment;906568.14;6917416.57;5.841327;49.322879;;inconnue;;0
;54084_b114_00023;54084;Mont-Bonvillers;;;Bonvillers Village;;23;;segment;906549.24;6917401.98;5.84106;49.322754;;inconnue;;0
;54084_b114_00024;54084;Mont-Bonvillers;;;Bonvillers Village;;24;;entrée;906539.47;6917390.49;5.84092;49.322654;;inconnue;;0
;54084_b114_00025;54084;Mont-Bonvillers;;;Bonvillers Village;;25;;segment;906529.03;6917387.22;5.840775;49.322628;;inconnue;;0
;54084_b114_00026;54084;Mont-Bonvillers;;;Bonvillers Village;;26;;segment;906512.03;6917374.48;5.840535;49.322519;;inconnue;;0
;54084_b114_00027;54084;Mont-Bonvillers;;;Bonvillers Village;;27;;segment;906576.62;6917356.99;5.841414;49.322341;;inconnue;;0
;54084_b114_00028;54084;Mont-Bonvillers;;;Bonvillers Village;;28;;segment;906488.03;6917355.8;5.840196;49.322359;;inconnue;;0
;54084_b114_00029;54084;Mont-Bonvillers;;;Bonvillers Village;;29;;segment;906479.62;6917342.81;5.840074;49.322245;;inconnue;;0
;54084_b114_00030;54084;Mont-Bonvillers;;;Bonvillers Village;;30;;segment;906473.45;6917332.35;5.839984;49.322153;;inconnue;;0
;54084_b114_00031;54084;Mont-Bonvillers;;;Bonvillers Village;;31;;segment;906469.56;6917325.31;5.839927;49.322091;;inconnue;;0
;54084_b114_00032;54084;Mont-Bonvillers;;;Bonvillers Village;;32;;segment;906466.84;6917319.98;5.839887;49.322044;;inconnue;;0
;54084_b114_00033;54084;Mont-Bonvillers;;;Bonvillers Village;;33;;entrée;906469.03;6917317.72;5.839916;49.322023;;inconnue;;0
;54084_b114_00034;54084;Mont-Bonvillers;;;Bonvillers Village;;34;;segment;906458.56;6917295.3;5.839761;49.321825;;inconnue;;0
;54084_b114_00035;54084;Mont-Bonvillers;;;Bonvillers Village;;35;;entrée;906451.3;6917266.43;5.839647;49.321568;;inconnue;;0
;54084_b114_00036;54084;Mont-Bonvillers;;;Bonvillers Village;;36;;segment;906447.08;6917248.25;5.83958;49.321406;;inconnue;;0
;54084_b114_00016_b;54084;Mont-Bonvillers;;;Bonvillers Village;;16;b;entrée;906609.88;6917459.71;5.841922;49.323253;;inconnue;;0
;54084_b114_00016_a;54084;Mont-Bonvillers;;;Bonvillers Village;;16;a;segment;906616.18;6917474.74;5.842016;49.323386;;inconnue;;0
;54084_b114_00005_bis;54084;Mont-Bonvillers;;;Bonvillers Village;;5;bis;entrée;906371.02;6917356.05;5.838588;49.322399;;inconnue;;0
;54084_b114_00017_bis;54084;Mont-Bonvillers;;;Bonvillers Village;;17;bis;entrée;906587.02;6917429.94;5.841593;49.322993;;inconnue;;0
;54084_b114_00003_bis;54084;Mont-Bonvillers;;;Bonvillers Village;;3;bis;segment;906483.24;6917363.76;5.840134;49.322432;;inconnue;;0
;54084_b114_00003_ter;54084;Mont-Bonvillers;;;Bonvillers Village;;3;ter;segment;906482.86;6917382.33;5.840138;49.322599;;inconnue;;0
;54084_b114_00001_bis;54084;Mont-Bonvillers;;;Bonvillers Village;;1;bis;segment;906450.9;6917301.93;5.839659;49.321887;;inconnue;;0
;54084_b114_00016_t;54084;Mont-Bonvillers;;;Bonvillers Village;;16;t;segment;906632.45;6917562.49;5.842283;49.324169;;inconnue;;0
;54084_b114_00002_bis;54084;Mont-Bonvillers;;;Bonvillers Village;;2;bis;segment;906468.53;6917341.63;5.839921;49.322238;;inconnue;;0
;54084_0135_00001;54084;Mont-Bonvillers;;;Rue des Fronts;;1;;entrée;905655.37;6917817.14;5.82898;49.326772;;inconnue;;0
;54084_0135_00002;54084;Mont-Bonvillers;;;Rue des Fronts;;2;;entrée;905660.69;6917819.01;5.829054;49.326787;;inconnue;;0
;54084_0135_00003;54084;Mont-Bonvillers;;;Rue des Fronts;;3;;entrée;905676.43;6917824.36;5.829273;49.32683;;inconnue;;0
;54084_0135_00004;54084;Mont-Bonvillers;;;Rue des Fronts;;4;;entrée;905681.18;6917825.97;5.829339;49.326843;;inconnue;;0
;54084_0135_00005;54084;Mont-Bonvillers;;;Rue des Fronts;;5;;entrée;905697.5;6917831.46;5.829566;49.326887;;inconnue;;0
;54084_0135_00006;54084;Mont-Bonvillers;;;Rue des Fronts;;6;;entrée;905702.38;6917833.19;5.829634;49.326901;;inconnue;;0
;54084_0135_00007;54084;Mont-Bonvillers;;;Rue des Fronts;;7;;entrée;905717.83;6917838.53;5.829849;49.326944;;inconnue;;0
;54084_0135_00008;54084;Mont-Bonvillers;;;Rue des Fronts;;8;;entrée;905722.29;6917840.03;5.829911;49.326956;;inconnue;;0
;54084_0135_00009;54084;Mont-Bonvillers;;;Rue des Fronts;;9;;entrée;905738.82;6917845.74;5.830141;49.327002;;inconnue;;0
;54084_0135_00010;54084;Mont-Bonvillers;;;Rue des Fronts;;10;;entrée;905744.5;6917847.72;5.83022;49.327018;;inconnue;;0
;54084_0135_00011;54084;Mont-Bonvillers;;;Rue des Fronts;;11;;entrée;905759.52;6917852.72;5.830429;49.327058;;inconnue;;0
;54084_0135_00012;54084;Mont-Bonvillers;;;Rue des Fronts;;12;;entrée;905764.7;6917854.46;5.830501;49.327072;;inconnue;;0
;54084_0135_00013;54084;Mont-Bonvillers;;;Rue des Fronts;;13;;entrée;905779.29;6917859.55;5.830704;49.327113;;inconnue;;0
;54084_0135_00014;54084;Mont-Bonvillers;;;Rue des Fronts;;14;;entrée;905784.53;6917861.4;5.830777;49.327128;;inconnue;;0
;54084_0135_00015;54084;Mont-Bonvillers;;;Rue des Fronts;;15;;entrée;905799.77;6917866.52;5.830989;49.327169;;inconnue;;0
;54084_0135_00016;54084;Mont-Bonvillers;;;Rue des Fronts;;16;;entrée;905804.73;6917868.25;5.831058;49.327183;;inconnue;;0
;54084_0135_00017;54084;Mont-Bonvillers;;;Rue des Fronts;;17;;entrée;905820;6917874.48;5.831271;49.327234;;inconnue;;0
;54084_0135_00018;54084;Mont-Bonvillers;;;Rue des Fronts;;18;;entrée;905825.68;6917876.46;5.83135;49.32725;;inconnue;;0
;54084_0135_00019;54084;Mont-Bonvillers;;;Rue des Fronts;;19;;entrée;905870.73;6917898.45;5.83198;49.327433;;inconnue;;0
;54084_0135_00020;54084;Mont-Bonvillers;;;Rue des Fronts;;20;;entrée;905876;6917901.53;5.832054;49.327459;;inconnue;;0
;54084_0135_00021;54084;Mont-Bonvillers;;;Rue des Fronts;;21;;entrée;905892.49;6917910.47;5.832285;49.327534;;inconnue;;0
;54084_0135_00022;54084;Mont-Bonvillers;;;Rue des Fronts;;22;;entrée;905897.2;6917912.98;5.832351;49.327555;;inconnue;;0
;54084_0135_00023;54084;Mont-Bonvillers;;;Rue des Fronts;;23;;entrée;905914.47;6917922.5;5.832593;49.327635;;inconnue;;0
;54084_0135_00024;54084;Mont-Bonvillers;;;Rue des Fronts;;24;;entrée;905919.03;6917925.01;5.832657;49.327656;;inconnue;;0
;54084_0135_00025;54084;Mont-Bonvillers;;;Rue des Fronts;;25;;entrée;905936.81;6917934.55;5.832906;49.327736;;inconnue;;0
;54084_0135_00026;54084;Mont-Bonvillers;;;Rue des Fronts;;26;;entrée;905941.73;6917937.18;5.832975;49.327758;;inconnue;;0
;54084_0135_00027;54084;Mont-Bonvillers;;;Rue des Fronts;;27;;entrée;905958;6917946.22;5.833203;49.327834;;inconnue;;0
;54084_0135_00028;54084;Mont-Bonvillers;;;Rue des Fronts;;28;;entrée;905963.21;6917948.97;5.833276;49.327857;;inconnue;;0
;54084_0135_00029;54084;Mont-Bonvillers;;;Rue des Fronts;;29;;entrée;905976.91;6917946.45;5.833463;49.32783;;inconnue;;0
;54084_0135_00030;54084;Mont-Bonvillers;;;Rue des Fronts;;30;;segment;905979.83;6917950.12;5.833505;49.327862;;inconnue;;0
;54084_0135_00031;54084;Mont-Bonvillers;;;Rue des Fronts;;31;;entrée;905937.9;6917924.35;5.832916;49.327644;;inconnue;;0
;54084_0135_00032;54084;Mont-Bonvillers;;;Rue des Fronts;;32;;entrée;905930.03;6917920.73;5.832806;49.327614;;inconnue;;0
;54084_0135_00033;54084;Mont-Bonvillers;;;Rue des Fronts;;33;;entrée;905915.33;6917912.74;5.8326;49.327547;;inconnue;;0
;54084_0135_00034;54084;Mont-Bonvillers;;;Rue des Fronts;;34;;entrée;905909.2;6917909.18;5.832514;49.327517;;inconnue;;0
;54084_0135_00035;54084;Mont-Bonvillers;;;Rue des Fronts;;35;;entrée;905896.49;6917902.49;5.832336;49.327461;;inconnue;;0
;54084_0135_00036;54084;Mont-Bonvillers;;;Rue des Fronts;;36;;entrée;905888.7;6917898.54;5.832227;49.327428;;inconnue;;0
;54084_0135_00037;54084;Mont-Bonvillers;;;Rue des Fronts;;37;;entrée;905748.19;6917819.69;5.830257;49.326765;;inconnue;;0
;54084_0135_00038;54084;Mont-Bonvillers;;;Rue des Fronts;;38;;segment;905982.62;6917951.56;5.833544;49.327874;;inconnue;;0
;54084_0135_00039;54084;Mont-Bonvillers;;;Rue des Fronts;;39;;;905667.44;6917805.11;5.82914;49.32666;;arcep;;0
;54084_0135_00030_bis;54084;Mont-Bonvillers;;;Rue des Fronts;;30;bis;entrée;905974.52;6917917.76;5.833416;49.327573;;inconnue;;0
;54084_0135_00005_bis;54084;Mont-Bonvillers;;;Rue des Fronts;;5;bis;entrée;905933.36;6918279.96;5.833029;49.33084;;inconnue;;0
;54084_0045_00001;54084;Mont-Bonvillers;;;Chemin de la Barre;;1;;entrée;906135.99;6917961.52;5.835657;49.327914;;inconnue;;0
;54084_0045_00002;54084;Mont-Bonvillers;;;Chemin de la Barre;;2;;entrée;906139.43;6917952.96;5.8357;49.327836;;inconnue;;0
;54084_0045_00003;54084;Mont-Bonvillers;;;Chemin de la Barre;;3;;entrée;906134.49;6917977.05;5.835644;49.328054;;inconnue;;0
;54084_0045_00006;54084;Mont-Bonvillers;;;Chemin de la Barre;;6;;entrée;906139.3;6917999.04;5.835721;49.32825;;inconnue;;0
;54084_0120_00001;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;1;;entrée;905614.53;6917858.54;5.828439;49.327157;;inconnue;;0
